rep,instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
1,openai__openai-agents-python-1601,openai/openai-agents-python,2025-08-28 05:18:26,opus-solo,claude-opus-4-8,claude-opus-4-8,1,1.841445,2078067,20878,2077071,20865,1.840384,0,0,0.0,996,13,0.0010609999999999999,54,382.48,ok,False,True,,jobs_powered/rep1/results/opus-solo/openai__openai-agents-python-1601/eval/openai__openai-agents-python-1601/report.json,False,jobs_powered/rep1/results/opus-solo/openai__openai-agents-python-1601
1,openai__openai-agents-python-1601,openai/openai-agents-python,2025-08-28 05:18:26,opus-tuned,claude-opus-4-8,<synthetic>|claude-opus-4-8,0,0.9794054999999999,971647,12478,970651,12462,0.9783295,0,0,0.0,996,16,0.001076,33,280.08,ok,False,False,<synthetic>,jobs_powered/rep1/results/opus-tuned/openai__openai-agents-python-1601/eval/openai__openai-agents-python-1601/report.json,False,jobs_powered/rep1/results/opus-tuned/openai__openai-agents-python-1601
1,QuantEcon__QuantEcon.py-797,QuantEcon/QuantEcon.py,2025-08-27 23:56:06,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.43147175,271487,7171,270679,7151,0.43056374999999997,0,0,0.0,808,20,0.0009080000000000001,10,87.74,ok,False,True,,jobs_powered/rep1/results/opus-solo/QuantEcon__QuantEcon.py-797/eval/QuantEcon__QuantEcon.py-797/report.json,False,jobs_powered/rep1/results/opus-solo/QuantEcon__QuantEcon.py-797
1,QuantEcon__QuantEcon.py-797,QuantEcon/QuantEcon.py,2025-08-27 23:56:06,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.3011005,217438,3906,216630,3886,0.3001925,0,0,0.0,808,20,0.0009080000000000001,9,56.32,ok,False,True,,jobs_powered/rep1/results/opus-tuned/QuantEcon__QuantEcon.py-797/eval/QuantEcon__QuantEcon.py-797/report.json,False,jobs_powered/rep1/results/opus-tuned/QuantEcon__QuantEcon.py-797
1,pex-tool__pex-2888,pex-tool/pex,2025-08-27 19:57:49,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.87531325,855211,8602,853649,8584,0.8736612500000001,0,0,0.0,1562,18,0.001652,22,149.11,ok,False,True,,jobs_powered/rep1/results/opus-solo/pex-tool__pex-2888/eval/pex-tool__pex-2888/report.json,False,jobs_powered/rep1/results/opus-solo/pex-tool__pex-2888
1,pex-tool__pex-2888,pex-tool/pex,2025-08-27 19:57:49,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.42735899999999993,280430,2222,278868,2204,0.42570699999999995,0,0,0.0,1562,18,0.001652,6,41.61,ok,False,True,,jobs_powered/rep1/results/opus-tuned/pex-tool__pex-2888/eval/pex-tool__pex-2888/report.json,False,jobs_powered/rep1/results/opus-tuned/pex-tool__pex-2888
1,sdv-dev__SDV-2658,sdv-dev/SDV,2025-08-27 19:48:19,opus-solo,claude-opus-4-8,claude-opus-4-8,0,1.1259477500000001,1200900,11786,1199738,11766,1.12468575,0,0,0.0,1162,20,0.001262,30,763.56,ok,False,True,,jobs_powered/rep1/results/opus-solo/sdv-dev__SDV-2658/eval/sdv-dev__SDV-2658/report.json,False,jobs_powered/rep1/results/opus-solo/sdv-dev__SDV-2658
1,sdv-dev__SDV-2658,sdv-dev/SDV,2025-08-27 19:48:19,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.7061022499999999,507409,6965,506247,6945,0.70484025,0,0,0.0,1162,20,0.001262,17,664.51,ok,False,True,,jobs_powered/rep1/results/opus-tuned/sdv-dev__SDV-2658/eval/sdv-dev__SDV-2658/report.json,False,jobs_powered/rep1/results/opus-tuned/sdv-dev__SDV-2658
1,stanfordnlp__dspy-8718,stanfordnlp/dspy,2025-08-27 06:46:30,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.142642,93923,1081,92069,1064,0.140703,0,0,0.0,1854,17,0.001939,4,21.61,ok,False,True,,jobs_powered/rep1/results/opus-solo/stanfordnlp__dspy-8718/eval/stanfordnlp__dspy-8718/report.json,False,jobs_powered/rep1/results/opus-solo/stanfordnlp__dspy-8718
1,stanfordnlp__dspy-8718,stanfordnlp/dspy,2025-08-27 06:46:30,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.14038774999999998,95280,882,93426,866,0.13845375,0,0,0.0,1854,16,0.001934,4,20.93,ok,False,True,,jobs_powered/rep1/results/opus-tuned/stanfordnlp__dspy-8718/eval/stanfordnlp__dspy-8718/report.json,False,jobs_powered/rep1/results/opus-tuned/stanfordnlp__dspy-8718
1,sdv-dev__SDV-2656,sdv-dev/SDV,2025-08-26 21:22:01,opus-solo,claude-opus-4-8,claude-opus-4-8,1,0.15295124999999998,128393,1256,127618,1241,0.15210125,0,0,0.0,775,15,0.00085,6,26.09,ok,False,True,,jobs_powered/rep1/results/opus-solo/sdv-dev__SDV-2656/eval/sdv-dev__SDV-2656/report.json,False,jobs_powered/rep1/results/opus-solo/sdv-dev__SDV-2656
1,sdv-dev__SDV-2656,sdv-dev/SDV,2025-08-26 21:22:01,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.13704499999999997,107316,1028,106541,1013,0.13619499999999998,0,0,0.0,775,15,0.00085,5,22.89,ok,False,True,,jobs_powered/rep1/results/opus-tuned/sdv-dev__SDV-2656/eval/sdv-dev__SDV-2656/report.json,False,jobs_powered/rep1/results/opus-tuned/sdv-dev__SDV-2656
1,aws-cloudformation__cfn-lint-4236,aws-cloudformation/cfn-lint,2025-08-26 18:22:09,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.9471769999999998,1039984,10735,1038792,10718,0.9458999999999999,0,0,0.0,1192,17,0.001277,33,220.79,ok,False,True,,jobs_powered/rep1/results/opus-solo/aws-cloudformation__cfn-lint-4236/eval/aws-cloudformation__cfn-lint-4236/report.json,False,jobs_powered/rep1/results/opus-solo/aws-cloudformation__cfn-lint-4236
1,aws-cloudformation__cfn-lint-4236,aws-cloudformation/cfn-lint,2025-08-26 18:22:09,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.4810134999999999,489159,5053,487967,5035,0.4797314999999999,0,0,0.0,1192,18,0.001282,18,147.6,ok,False,True,,jobs_powered/rep1/results/opus-tuned/aws-cloudformation__cfn-lint-4236/eval/aws-cloudformation__cfn-lint-4236/report.json,False,jobs_powered/rep1/results/opus-tuned/aws-cloudformation__cfn-lint-4236
1,ipython__ipython-14970,ipython/ipython,2025-08-26 17:28:34,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.14581275000000002,106406,1597,105154,1579,0.14447075,0,0,0.0,1252,18,0.001342,5,26.13,ok,False,True,,jobs_powered/rep1/results/opus-solo/ipython__ipython-14970/eval/ipython__ipython-14970/report.json,False,jobs_powered/rep1/results/opus-solo/ipython__ipython-14970
1,ipython__ipython-14970,ipython/ipython,2025-08-26 17:28:34,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.0994645,63557,733,62305,714,0.0981175,0,0,0.0,1252,19,0.001347,3,17.7,ok,False,True,,jobs_powered/rep1/results/opus-tuned/ipython__ipython-14970/eval/ipython__ipython-14970/report.json,False,jobs_powered/rep1/results/opus-tuned/ipython__ipython-14970
1,sissbruecker__linkding-1175,sissbruecker/linkding,2025-08-26 09:53:54,opus-solo,claude-opus-4-8,claude-haiku-4-5-20251001|claude-opus-4-8,0,1.9461594499999997,2719276,26622,1917621,20073,1.7631814999999997,0,0,0.0,801655,6549,0.18297795000000003,56,521.03,ok,False,False,claude-haiku-4-5-20251001,jobs_powered/rep1/results/opus-solo/sissbruecker__linkding-1175/eval/sissbruecker__linkding-1175/report.json,False,jobs_powered/rep1/results/opus-solo/sissbruecker__linkding-1175
1,sissbruecker__linkding-1175,sissbruecker/linkding,2025-08-26 09:53:54,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,1.1672554999999998,1212176,13430,1211174,13415,1.1661784999999998,0,0,0.0,1002,15,0.001077,31,213.94,ok,False,True,,jobs_powered/rep1/results/opus-tuned/sissbruecker__linkding-1175/eval/sissbruecker__linkding-1175/report.json,False,jobs_powered/rep1/results/opus-tuned/sissbruecker__linkding-1175
1,octodns__octodns-1298,octodns/octodns,2025-08-25 21:11:54,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.611242,624266,6894,621864,6875,0.608745,0,0,0.0,2402,19,0.002497,21,119.58,ok,False,True,,jobs_powered/rep1/results/opus-solo/octodns__octodns-1298/eval/octodns__octodns-1298/report.json,False,jobs_powered/rep1/results/opus-solo/octodns__octodns-1298
1,octodns__octodns-1298,octodns/octodns,2025-08-25 21:11:54,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.53903075,527652,6128,525250,6108,0.53652875,0,0,0.0,2402,20,0.002502,18,114.79,ok,False,True,,jobs_powered/rep1/results/opus-tuned/octodns__octodns-1298/eval/octodns__octodns-1298/report.json,False,jobs_powered/rep1/results/opus-tuned/octodns__octodns-1298
1,authlib__authlib-802,authlib/authlib,2025-08-25 14:49:37,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.6485812500000002,688214,5618,687042,5595,0.6472942500000002,0,0,0.0,1172,23,0.0012870000000000002,20,106.18,ok,False,True,,jobs_powered/rep1/results/opus-solo/authlib__authlib-802/eval/authlib__authlib-802/report.json,False,jobs_powered/rep1/results/opus-solo/authlib__authlib-802
1,authlib__authlib-802,authlib/authlib,2025-08-25 14:49:37,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.68609125,753213,5812,752041,5786,0.68478925,0,0,0.0,1172,26,0.001302,23,121.42,ok,False,True,,jobs_powered/rep1/results/opus-tuned/authlib__authlib-802/eval/authlib__authlib-802/report.json,False,jobs_powered/rep1/results/opus-tuned/authlib__authlib-802
1,ipython__ipython-14969,ipython/ipython,2025-08-24 16:24:52,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.17517025,136721,1496,134952,1479,0.17331625,0,0,0.0,1769,17,0.001854,6,29.41,ok,False,True,,jobs_powered/rep1/results/opus-solo/ipython__ipython-14969/eval/ipython__ipython-14969/report.json,False,jobs_powered/rep1/results/opus-solo/ipython__ipython-14969
1,ipython__ipython-14969,ipython/ipython,2025-08-24 16:24:52,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.12859649999999997,89607,874,87838,857,0.12674249999999998,0,0,0.0,1769,17,0.001854,4,19.33,ok,False,True,,jobs_powered/rep1/results/opus-tuned/ipython__ipython-14969/eval/ipython__ipython-14969/report.json,False,jobs_powered/rep1/results/opus-tuned/ipython__ipython-14969
1,spesmilo__electrum-10172,spesmilo/electrum,2025-08-23 16:56:08,opus-solo,claude-opus-4-8,claude-opus-4-8,0,1.0191085,1019405,12485,1017750,12465,1.0173535,0,0,0.0,1655,20,0.001755,29,196.5,ok,False,True,,jobs_powered/rep1/results/opus-solo/spesmilo__electrum-10172/eval/spesmilo__electrum-10172/report.json,False,jobs_powered/rep1/results/opus-solo/spesmilo__electrum-10172
1,spesmilo__electrum-10172,spesmilo/electrum,2025-08-23 16:56:08,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.8367415,716456,11732,714801,11711,0.8349815,0,0,0.0,1655,21,0.00176,21,181.03,ok,False,True,,jobs_powered/rep1/results/opus-tuned/spesmilo__electrum-10172/eval/spesmilo__electrum-10172/report.json,False,jobs_powered/rep1/results/opus-tuned/spesmilo__electrum-10172
1,Archmonger__django-dbbackup-631,Archmonger/django-dbbackup,2025-08-23 08:37:51,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.12414225,65857,1236,64995,1218,0.12319025,0,0,0.0,862,18,0.000952,3,21.6,ok,False,True,,jobs_powered/rep1/results/opus-solo/Archmonger__django-dbbackup-631/eval/Archmonger__django-dbbackup-631/report.json,False,jobs_powered/rep1/results/opus-solo/Archmonger__django-dbbackup-631
1,Archmonger__django-dbbackup-631,Archmonger/django-dbbackup,2025-08-23 08:37:51,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.17256225,110475,2149,109613,2131,0.17161025,0,0,0.0,862,18,0.000952,5,38.52,ok,False,True,,jobs_powered/rep1/results/opus-tuned/Archmonger__django-dbbackup-631/eval/Archmonger__django-dbbackup-631/report.json,False,jobs_powered/rep1/results/opus-tuned/Archmonger__django-dbbackup-631
1,pgmpy__pgmpy-2314,pgmpy/pgmpy,2025-08-22 21:00:01,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.14042724999999998,106786,1176,105967,1159,0.13952325,0,0,0.0,819,17,0.000904,5,24.18,ok,False,True,,jobs_powered/rep1/results/opus-solo/pgmpy__pgmpy-2314/eval/pgmpy__pgmpy-2314/report.json,False,jobs_powered/rep1/results/opus-solo/pgmpy__pgmpy-2314
1,pgmpy__pgmpy-2314,pgmpy/pgmpy,2025-08-22 21:00:01,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.12432950000000001,84726,1057,83907,1042,0.1234355,0,0,0.0,819,15,0.0008939999999999999,4,21.31,ok,False,True,,jobs_powered/rep1/results/opus-tuned/pgmpy__pgmpy-2314/eval/pgmpy__pgmpy-2314/report.json,False,jobs_powered/rep1/results/opus-tuned/pgmpy__pgmpy-2314
1,authlib__authlib-800,authlib/authlib,2025-08-22 11:09:35,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.11291925,81493,987,80572,969,0.11190825,0,0,0.0,921,18,0.001011,4,19.37,ok,False,True,,jobs_powered/rep1/results/opus-solo/authlib__authlib-800/eval/authlib__authlib-800/report.json,False,jobs_powered/rep1/results/opus-solo/authlib__authlib-800
1,authlib__authlib-800,authlib/authlib,2025-08-22 11:09:35,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.1166145,82712,1028,81791,1009,0.11559849999999999,0,0,0.0,921,19,0.001016,4,20.65,ok,False,True,,jobs_powered/rep1/results/opus-tuned/authlib__authlib-800/eval/authlib__authlib-800/report.json,False,jobs_powered/rep1/results/opus-tuned/authlib__authlib-800
1,Archmonger__django-dbbackup-626,Archmonger/django-dbbackup,2025-08-22 08:56:35,opus-solo,claude-opus-4-8,claude-opus-4-8,1,0.265122,263846,2533,263136,2514,0.264317,0,0,0.0,710,19,0.000805,12,45.07,ok,False,True,,jobs_powered/rep1/results/opus-solo/Archmonger__django-dbbackup-626/eval/Archmonger__django-dbbackup-626/report.json,False,jobs_powered/rep1/results/opus-solo/Archmonger__django-dbbackup-626
1,Archmonger__django-dbbackup-626,Archmonger/django-dbbackup,2025-08-22 08:56:35,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.101653,82405,469,81695,450,0.100848,0,0,0.0,710,19,0.000805,4,14.36,ok,False,True,,jobs_powered/rep1/results/opus-tuned/Archmonger__django-dbbackup-626/eval/Archmonger__django-dbbackup-626/report.json,False,jobs_powered/rep1/results/opus-tuned/Archmonger__django-dbbackup-626
1,llamastack__llama-stack-3224,llamastack/llama-stack,2025-08-21 15:52:00,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.8263624999999998,664085,9658,647518,9637,0.8096904999999998,0,0,0.0,16567,21,0.016672,13,133.71,ok,False,True,,jobs_powered/rep1/results/opus-solo/llamastack__llama-stack-3224/eval/llamastack__llama-stack-3224/report.json,False,jobs_powered/rep1/results/opus-solo/llamastack__llama-stack-3224
1,llamastack__llama-stack-3224,llamastack/llama-stack,2025-08-21 15:52:00,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.42322299999999996,278517,3139,261950,3118,0.40655099999999994,0,0,0.0,16567,21,0.016672,6,46.96,ok,False,True,,jobs_powered/rep1/results/opus-tuned/llamastack__llama-stack-3224/eval/llamastack__llama-stack-3224/report.json,False,jobs_powered/rep1/results/opus-tuned/llamastack__llama-stack-3224
2,openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-solo,claude-opus-4-8,claude-opus-4-8,1,0.7713397500000001,805005,7966,803738,7949,0.7699877500000001,0,0,0.0,1267,17,0.001352,24,140.93,ok,False,True,,jobs_powered/rep2/results/opus-solo/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_powered/rep2/results/opus-solo/openai__openai-agents-python-1636
2,openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.37864075,421764,3172,420497,3155,0.37728875,0,0,0.0,1267,17,0.001352,17,68.44,ok,False,True,,jobs_powered/rep2/results/opus-tuned/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_powered/rep2/results/opus-tuned/openai__openai-agents-python-1636
2,openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-solo,claude-opus-4-8,claude-opus-4-8,0,1.7971664999999994,2063837,18531,2062361,18513,1.7956004999999995,0,0,0.0,1476,18,0.0015660000000000001,45,338.4,ok,False,True,,jobs_powered/rep2/results/opus-solo/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_powered/rep2/results/opus-solo/openai__openai-agents-python-1633
2,openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.6982755000000002,641015,8607,639539,8590,0.6967145000000001,0,0,0.0,1476,17,0.001561,20,136.63,ok,False,True,,jobs_powered/rep2/results/opus-tuned/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_powered/rep2/results/opus-tuned/openai__openai-agents-python-1633
2,stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.39959500000000003,384059,4340,382474,4319,0.397905,0,0,0.0,1585,21,0.00169,15,98.09,ok,False,True,,jobs_powered/rep2/results/opus-solo/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_powered/rep2/results/opus-solo/stanfordnlp__dspy-8739
2,stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.36845049999999996,311432,4354,309847,4334,0.36676549999999997,0,0,0.0,1585,20,0.001685,12,76.07,ok,False,True,,jobs_powered/rep2/results/opus-tuned/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_powered/rep2/results/opus-tuned/stanfordnlp__dspy-8739
2,openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-solo,claude-opus-4-8,claude-opus-4-8,1,0.427448,444864,4223,443267,4205,0.425761,0,0,0.0,1597,18,0.001687,17,76.26,ok,False,True,,jobs_powered/rep2/results/opus-solo/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_powered/rep2/results/opus-solo/openai__openai-agents-python-1619
2,openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.34556899999999996,357275,3261,355678,3241,0.34387199999999996,0,0,0.0,1597,20,0.001697,14,61.92,ok,False,True,,jobs_powered/rep2/results/opus-tuned/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_powered/rep2/results/opus-tuned/openai__openai-agents-python-1619
2,django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.424888,317685,6710,316809,6692,0.42392199999999997,0,0,0.0,876,18,0.0009660000000000001,13,99.56,ok,False,True,,jobs_powered/rep2/results/opus-solo/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_powered/rep2/results/opus-solo/django-guardian__django-guardian-899
2,django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.33559725,240333,5216,239457,5197,0.33462625,0,0,0.0,876,19,0.0009710000000000001,10,81.79,ok,False,True,,jobs_powered/rep2/results/opus-tuned/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_powered/rep2/results/opus-tuned/django-guardian__django-guardian-899
2,django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.6632785,652979,8191,651941,8175,0.6621605,0,0,0.0,1038,16,0.001118,20,176.82,ok,False,True,,jobs_powered/rep2/results/opus-solo/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_powered/rep2/results/opus-solo/django-guardian__django-guardian-896
2,django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.26473349999999995,257100,3017,256062,3001,0.26361549999999995,0,0,0.0,1038,16,0.001118,11,53.38,ok,False,True,,jobs_powered/rep2/results/opus-tuned/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_powered/rep2/results/opus-tuned/django-guardian__django-guardian-896
